part_id,sequence_id,ptp_source,units_label,pressure_reference,target_activation_direction,activation_target,increasing_lower,increasing_upper,decreasing_lower,decreasing_upper,reset_lower,reset_upper,common_terminal,normally_open_terminal,normally_closed_terminal,sweep_mode,reference_interpretation,port_a_mapping,port_a_derivation_mode,port_b_mapping,port_b_derivation_mode,validation_status,validation_notes,bench_status,last_verified_at,verified_by,stand_id,notes
17123,399,database,PSI,gauge,Increasing,10.0,9.5,10.5,7.0,inf,-inf,inf,1,2,0,pressure,gauge: atmosphere reference,"COM=1->DIO0, NO=2->DIO1, NC=not connected->derived from NO DIO1, drive=common 1->DIO0, mode=derive_nc_from_no",derive_nc_from_no,"COM=1->DIO9, NO=2->DIO10, NC=not connected->derived from NO DIO10, drive=common 1->DIO9, mode=derive_nc_from_no",derive_nc_from_no,OK,,PASS_FULL_HEADLESS_VERIFIED,2026-06-30T08:02:22-07:00,Codex,STINGER_01,Left port full headless seq399 pass after SPST PTP fallback; cycling edges 9.2796/8.8681 psi gauge; precision edges 9.9741/8.9185 psi gauge; PSIG chart ATM corrected to gauge zero so 14.7 PSIA is not drawn on the gauge scale
SPS01439-02,300,database,mmHg @ 0 C,gauge,Decreasing,400.0,-inf,490.0,395.0,405.0,-inf,inf,4,3,1,pressure,gauge: atmosphere reference,"COM=4->DIO3, NO=3->DIO2, NC=1->derived from NO DIO2, drive=common 4->DIO3, mode=derive_nc_from_no",derive_nc_from_no,"COM=4->DIO12, NO=3->DIO11, NC=1->derived from NO DIO11, drive=common 4->DIO12, mode=derive_nc_from_no",derive_nc_from_no,OK,,PASS_FULL_HEADLESS_VERIFIED,2026-06-25T12:20:03-07:00,Codex,STINGER_01,Both ports full headless seq300 pass with 3 cycles after fail-open cycle-prep refactor; port_a edges 7.731/8.918 psi gauge; port_b edges 7.824/8.756 psi gauge; prep geometry correct (skip when on correct side; hysteresis-accept on prep side); B/C/D families covered by unit tests only — bench re-verification still needed
SPS01439-02,600,database,Torr,absolute,Decreasing,400.0,-inf,490.0,390.0,410.0,-inf,inf,4,1,3,vacuum,absolute package: seq 600 vacuum-reference control,"COM=4->DIO3, NO=1->derived from NC DIO2, NC=3->DIO2, drive=common 4->DIO3, mode=derive_no_from_nc",derive_no_from_nc,"COM=4->DIO12, NO=1->derived from NC DIO11, NC=3->DIO11, drive=common 4->DIO12, mode=derive_no_from_nc",derive_no_from_nc,OK,,NEEDS_BENCH_REVERIFICATION,2026-06-25T12:20:03-07:00,Codex,STINGER_01,Family B vacuum path preserved verbatim in fail-open refactor; trips_on_no_open branch unchanged; covered by unit tests but bench re-verification needed after 2026-06-25 refactor
SPS01495-02,600,database,Torr,absolute,Decreasing,75.0,-inf,145.0,70.0,80.0,-inf,inf,4,1,3,vacuum,absolute package: seq 600 vacuum-reference control,"COM=4->DIO3, NO=1->derived from NC DIO2, NC=3->DIO2, drive=common 4->DIO3, mode=derive_no_from_nc",derive_no_from_nc,"COM=4->DIO12, NO=1->derived from NC DIO11, NC=3->DIO11, drive=common 4->DIO12, mode=derive_no_from_nc",derive_no_from_nc,OK,,PASS_CYCLE_VERIFIED,2026-06-17T07:18:21-07:00,Codex,STINGER_01,Left port passed after vacuum pump was turned on; PTP switch electrically present; headless seq600 one-cycle pass with decreasing-direction point 1.4301 psia and increasing-direction reset point 2.2682 psia; earlier failure was common vacuum supply off rather than PTP pin mapping
SPS01496-02,300,database,mmHg @ 0 C,gauge,Decreasing,400.0,-inf,490.0,395.0,405.0,-inf,inf,4,3,1,pressure,gauge: atmosphere reference,"COM=4->DIO3, NO=3->DIO2, NC=1->derived from NO DIO2, drive=common 4->DIO3, mode=derive_nc_from_no",derive_nc_from_no,"COM=4->DIO12, NO=3->DIO11, NC=1->derived from NO DIO11, drive=common 4->DIO12, mode=derive_nc_from_no",derive_nc_from_no,OK,,PASS_CYCLE_VERIFIED,2026-06-16T12:00:44-07:00,Codex,STINGER_01,Right port after switch calibration and proper install; headless seq300 one-cycle pass; decreasing-direction point 7.7195 psi gauge and increasing-direction reset point 9.0284 psi gauge
SPS01496-02,600,database,Torr,absolute,Decreasing,400.0,-inf,490.0,390.0,410.0,-inf,inf,4,1,3,vacuum,absolute package: seq 600 vacuum-reference control,"COM=4->DIO3, NO=1->derived from NC DIO2, NC=3->DIO2, drive=common 4->DIO3, mode=derive_no_from_nc",derive_no_from_nc,"COM=4->DIO12, NO=1->derived from NC DIO11, NC=3->DIO11, drive=common 4->DIO12, mode=derive_no_from_nc",derive_no_from_nc,OK,,PASS_FULL_UI_VERIFIED,2026-06-24T07:53:19-07:00,Codex,STINGER_01,Both ports passed through the UI after PTP-derived switch target precedence fix; port A activation/deactivation 396.7/439.6 Torr and port B 398.9/471.2 Torr; previous June 16 no-switch result was due to stale port-level vacuum target inversion overriding derive_no_from_nc runtime mapping
SPS01897-02,300,database,mmHg @ 0 C,gauge,Increasing,75.0,67.5,82.5,30.0,inf,-inf,inf,3,0,6,pressure,gauge: atmosphere reference,"COM=3->DIO2, NO=not connected->derived from NC DIO2, NC=6->via COM DIO2, drive=normally_closed 6->DIO5, mode=drive_nc_read_common",drive_nc_read_common,"COM=3->DIO11, NO=not connected->derived from NC DIO11, NC=6->via COM DIO11, drive=normally_closed 6->DIO14, mode=drive_nc_read_common",drive_nc_read_common,OK,,NEEDS_BENCH_REVERIFICATION,2026-06-25T12:20:03-07:00,Codex,STINGER_01,Family C increasing-pressure path now uses geometry helper (prep nudges to low/reset side for activation; high/reset side for deactivation); logic correct by unit test; bench re-verification needed after 2026-06-25 refactor; prior bench-verified 2026-06-17
SPS02072-02,300,database,mmHg @ 0 C,gauge,Decreasing,400.0,-inf,500.0,390.0,410.0,-inf,inf,4,3,1,pressure,gauge: atmosphere reference,"COM=4->DIO3, NO=3->DIO2, NC=1->derived from NO DIO2, drive=common 4->DIO3, mode=derive_nc_from_no",derive_nc_from_no,"COM=4->DIO12, NO=3->DIO11, NC=1->derived from NO DIO11, drive=common 4->DIO12, mode=derive_nc_from_no",derive_nc_from_no,OK,,PASS_FULL_HEADLESS_VERIFIED,2026-06-24T10:54:52-07:00,Codex,STINGER_01,Left port full headless seq300 pass after decreasing-pressure cycle prep fix; cycling edges 7.6688/9.4730 psi gauge; precision edges 7.6799/9.4075 psi gauge; prior no-switch was caused by prep consuming the falling/rising edges before measurement
SPS02209-02,300,database,mmHg @ 0 C,gauge,Decreasing,75.0,-inf,145.0,73.0,80.0,-inf,inf,4,3,1,pressure,gauge: atmosphere reference,"COM=4->DIO3, NO=3->DIO2, NC=1->derived from NO DIO2, drive=common 4->DIO3, mode=derive_nc_from_no",derive_nc_from_no,"COM=4->DIO12, NO=3->DIO11, NC=1->derived from NO DIO11, drive=common 4->DIO12, mode=derive_nc_from_no",derive_nc_from_no,OK,,PASS_CYCLE_VERIFIED,2026-06-16T12:00:38-07:00,Codex,STINGER_01,Left port after switch calibration and proper install; headless seq300 one-cycle pass; decreasing-direction point 1.3983 psi gauge and increasing-direction reset point 1.9413 psi gauge
SPS02209-02,600,database,Torr,absolute,Decreasing,75.0,-inf,145.0,70.0,80.0,-inf,inf,4,1,3,vacuum,absolute package: seq 600 vacuum-reference control,"COM=4->DIO3, NO=1->derived from NC DIO2, NC=3->DIO2, drive=common 4->DIO3, mode=derive_no_from_nc",derive_no_from_nc,"COM=4->DIO12, NO=1->derived from NC DIO11, NC=3->DIO11, drive=common 4->DIO12, mode=derive_no_from_nc",derive_no_from_nc,OK,,FAIL_NO_SWITCH_EDGE,2026-06-16T12:01:16-07:00,Codex,STINGER_01,Left port after switch calibration; headless seq600 pulled to ~0.19 psia but PTP NC pin3/DIO2 stayed open-high with no edge; seq300 same physical switch passes
